측정소 위치,pH,BOD,COD,TOC,SS,DO,T-P,총대장균군,분원성대장균군,전기전도도,암모니아성질소,질산성질소,용존총질소,인산염인,용존총인,클로로필A,최저수온,최고수온,pH분류,수온분류,전도분류
조만교,7.6,5.25,8.58,4.98,20.32,9.09,0.11,2658.33,636.92,768.33,0.99,3.12,5.7,0.02,0.04,63.22,5.5,30.6,좋음,매우 나쁨,나쁨
좌광교,7.87,2.92,7.41,4,6.47,10.28,0.15,33775,21991.67,469.25,0.46,3.83,5.19,0.1,0.12,5.29,7.6,30.3,좋음,매우 나쁨,좋음
좌광천인도교,7.7,2.9,8.23,4.35,6.1,9.98,0.11,101450,96475,476.5,0.29,3.51,4.93,0.05,0.08,4.95,14.3,25.7,좋음,나쁨,좋음
지사천2교,7.5,0.85,2.5,1.18,1.78,8.65,0.04,4162.5,145,300.75,0.02,1.12,1.39,0.02,0.04,1.5,8.7,22.7,좋음,나쁨,좋음
청룡2호교,7.79,1.16,4.85,2.81,4.79,9.89,0.06,339.17,152.17,279.08,0.04,1.9,2.45,0.03,0.04,8.08,4.1,28.1,좋음,매우 나쁨,좋음
태광산업 앞,8.01,1.94,5.4,3.09,5.38,9.88,0.09,46408.33,25166.67,303.83,0.14,2.04,2.8,0.05,0.07,7.51,4.5,27.2,좋음,매우 나쁨,좋음
하단초등학교 뒤,7.35,12.52,10.45,3.97,8.73,3.02,0.31,2017500,265950,23239.5,2.25,0.16,3.57,0.19,0.23,7.48,8.9,26.9,좋음,나쁨,나쁨
화명교,7.14,0.49,1.58,0.85,2.84,11.47,0.06,1109.5,411.83,120.42,0.01,1.26,1.37,0.04,0.05,1.94,7.6,26.2,좋음,나쁨,나쁨
화전교,7.52,1.3,3.58,1.55,3.7,11.02,0.09,5750,8825,207.5,0.24,1,1.52,0.07,0.08,2.52,10.6,23.9,좋음,나쁨,좋음
회동교,8,2.27,5.76,2.84,6.82,9.42,0.07,1007.33,398.33,198.08,0.15,0.58,1.43,0.02,0.03,16.15,5.9,28.2,좋음,나쁨,좋음
