측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
강서구 명지동,나,일반주거,일반,협성휴포레,2023,2,56,45,53,58,55,58,45,45
기장군 기장읍,나,일반주거,도로,기장FILA 앞,2023,2,67,64,67,67,67,68,68,61
기장군 기장읍,나,일반주거,도로,초이스안경 앞,2023,2,69,65,68,69,69,70,68,62
기장군 기장읍,나,일반주거,일반,678치킨 앞,2023,2,53,54,51,54,54,56,57,52
기장군 기장읍,나,일반주거,일반,대진아파트 앞,2023,2,54,49,54,55,56,52,50,48
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2023,2,58,58,56,62,57,60,60,56
중구 대청공원,가,녹지,도로,시민아파트 앞,2023,1,65,58,66,65,65,64,62,55
중구 대청공원,가,녹지,도로,시민헌장 앞,2023,1,54,46,55,54,56,54,51,41
기장군 정관읍,나,일반주거,도로,EG더원,2023,2,65,60,65,65,67,65,62,58
기장군 정관읍,나,일반주거,도로,LH아파트,2023,2,65,57,66,65,66,63,59,56
기장군 정관읍,나,일반주거,일반,동일스위트,2023,2,50,45,48,51,53,51,47,44
기장군 정관읍,나,일반주거,일반,이진캐스빌,2023,2,52,43,56,51,56,47,41,45
기장군 정관읍,나,일반주거,일반,하늘애,2023,2,54,49,55,53,55,55,55,43
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2023,2,62,53,64,61,63,61,57,50
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2023,2,64,58,64,64,65,63,61,55
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2023,2,56,53,54,56,57,58,54,52
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2023,2,63,63,61,63,63,68,64,62
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2023,2,54,44,55,53,57,54,46,42
해운대구 중1동,다,상업,도로,노보텔호텔 우,2023,2,68,68,68,67,67,71,73,64
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2023,2,69,69,69,68,68,74,73,65
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,2,61,55,59,62,63,60,56,55
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2023,2,59,55,58,60,61,59,56,54
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2023,2,62,55,59,65,64,62,57,54
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,4,59,58,60,60,60,59,59,58
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2023,4,56,54,56,57,57,57,55,53
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2023,4,54,53,52,53,55,57,56,51
영도구 남항동,다,준공업,도로,구 남항새마을금고 앞,2023,4,65,59,66,66,67,64,62,56
영도구 남항동,다,준공업,도로,카이스트안경 앞,2023,4,67,60,68,67,68,66,62,59
영도구 남항동,다,준공업,일반,신한아파트 앞,2023,4,60,45,65,64,62,51,46,45
영도구 남항동,다,준공업,일반,영도종합상가 앞,2023,4,65,39,74,73,65,51,39,40
영도구 남항동,다,준공업,일반,유성티엠주식회사 앞,2023,4,55,44,60,56,57,48,46,43
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2023,3,66,58,67,67,66,64,62,54
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2023,3,57,52,56,57,58,57,54,51
중구 대청공원,가,녹지,도로,시민아파트 앞,2023,3,65,59,65,66,66,64,63,56
중구 대청공원,가,녹지,도로,시민헌장 앞,2023,3,57,50,56,56,56,61,54,47
중구 대청공원,가,녹지,일반,도서관 앞,2023,3,55,49,55,54,55,56,51,48
중구 대청공원,가,녹지,일반,동상 앞,2023,3,51,51,50,52,51,54,56,47
중구 대청공원,가,녹지,일반,충혼탑입구,2023,3,59,57,59,59,60,60,62,52
부산진구 개금2동 백병원 주변,가,종합병원,도로,개금2동새마을금고 앞,2023,3,63,56,64,64,64,61,57,55
부산진구 개금2동 백병원 주변,가,종합병원,도로,주원초등학교 앞,2023,3,62,54,62,64,62,61,56,52
부산진구 개금2동 백병원 주변,가,종합병원,일반,건강탕 앞,2023,3,56,50,56,57,57,56,52,49
부산진구 개금2동 백병원 주변,가,종합병원,일반,고원아파트1동 107동 앞,2023,3,57,55,57,54,55,63,54,56
부산진구 개금2동 백병원 주변,가,종합병원,일반,하성약국 옆,2023,3,56,48,58,59,57,52,49,48
강서구 명지동,나,일반주거,도로,더웨스턴,2023,3,64,57,64,63,65,64,59,56
강서구 명지동,나,일반주거,도로,퀸덤아파트,2023,3,61,57,62,62,62,61,59,55
강서구 명지동,나,일반주거,일반,삼정그린코아,2023,3,56,49,54,57,57,56,49,49
강서구 명지동,나,일반주거,일반,에덴하우스,2023,3,57,51,53,58,62,58,55,48
강서구 명지동,나,일반주거,일반,협성휴포레,2023,3,54,45,53,55,57,53,46,45
기장군 기장읍,나,일반주거,도로,기장FILA 앞,2023,3,67,64,66,68,67,68,68,61
기장군 기장읍,나,일반주거,도로,초이스안경 앞,2023,3,68,65,68,69,69,69,69,62
기장군 기장읍,나,일반주거,일반,678치킨 앞,2023,3,55,57,52,54,56,59,60,55
기장군 기장읍,나,일반주거,일반,대진아파트 앞,2023,3,55,51,55,56,56,56,56,47
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2023,3,60,57,59,60,62,60,60,54
기장군 정관읍,나,일반주거,도로,EG더원,2023,3,66,60,66,65,67,66,63,58
기장군 정관읍,나,일반주거,도로,LH아파트,2023,3,67,57,73,65,66,64,58,56
