항목,계,전,답,과수원,목장용지,임야,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지,광천지,공장 용지,학교 용지,주유소 용지,창고 용지,철도 용지,수도 용지,체육 용지,종교 용지
금정구 부곡3동,7824102.85,29623.5,147267.25,0.0,422.25,5072553.575,0.0,423204.0,2510.575,76557.925,2151.075,2837.8,1029.6,272310.425,36.25,349520.625,205.0,112105.15,0.0,0.0,1286306.75,3229.425,0.0,0.0,15246.65,0.0,19093.25,3084.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 부곡4동,994853.85,3338.5,3251.25,0.0,422.25,397545.575,0.0,352778.0,2510.575,76557.925,1585.075,2837.8,600.6,112413.425,36.25,12028.625,205.0,12125.15,0.0,0.0,10.75,3229.425,0.0,0.0,10500.65,0.0,1303.25,1573.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 장전1동,2009300.5333333332,536.0,8435.666666666666,0.0,0.0,1281009.3333333333,0.0,385782.8,143.33333333333334,156964.86666666667,2106.866666666667,168.0,321.40000000000003,125013.8,0.0,19268.533333333333,718.6666666666666,5460.3,43.666666666666664,0.0,0.0,5808.566666666667,0.0,0.0,11932.766666666668,0.0,3085.3333333333335,2500.633333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 장전2동,2009300.5333333332,536.0,8435.666666666666,0.0,0.0,1281009.3333333333,0.0,385782.8,143.33333333333334,156964.86666666667,2106.866666666667,168.0,321.40000000000003,125013.8,0.0,19268.533333333333,718.6666666666666,5460.3,43.666666666666664,0.0,0.0,5808.566666666667,0.0,0.0,11932.766666666668,0.0,3085.3333333333335,2500.633333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 장전3동,2009300.5333333332,536.0,8435.666666666666,0.0,0.0,1281009.3333333333,0.0,385782.8,143.33333333333334,156964.86666666667,2106.866666666667,168.0,321.40000000000003,125013.8,0.0,19268.533333333333,718.6666666666666,5460.3,43.666666666666664,0.0,0.0,5808.566666666667,0.0,0.0,11932.766666666668,0.0,3085.3333333333335,2500.633333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 선두구동,12041335.3,419853.0,1683867.0,5712.0,0.0,6527557.0,0.0,451943.0,39420.0,8688.0,2465.0,0.0,4197.0,477708.0,31814.0,719645.0,7050.0,181435.0,28679.0,0.0,488577.0,5198.0,787833.3,0.0,11155.0,0.0,61008.0,97531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 청룡노포동,10911389.0,264973.0,605911.0,2549.0,0.0,7599679.0,0.0,405147.8,0.0,36321.6,29653.2,1619.0,6795.0,599639.9,310437.0,125231.0,12703.0,119484.4,9732.0,0.0,111995.0,1462.1,564538.0,0.0,55576.0,0.0,11989.0,35953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 남산동,3638833.2,42956.0,89848.4,0.0,0.0,1942846.5,0.0,894711.8,0.0,195853.1,1311.9,4266.1,947.3,303396.2,0.0,35922.4,64.0,54771.5,7356.0,0.0,97.0,16900.2,26115.0,0.0,18560.5,0.0,1512.0,1397.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 구서1동,3109750.25,2570.0,28108.0,0.0,0.0,1864754.6,0.0,602583.2,39742.8,106880.55,2344.9,1537.8,103.45,292906.4,0.0,26718.1,0.0,19613.6,0.0,0.0,9138.55,4323.9,90650.0,0.0,8354.95,0.0,240.0,9179.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 구서2동,3109750.25,2570.0,28108.0,0.0,0.0,1864754.6,0.0,602583.2,39742.8,106880.55,2344.9,1537.8,103.45,292906.4,0.0,26718.1,0.0,19613.6,0.0,0.0,9138.55,4323.9,90650.0,0.0,8354.95,0.0,240.0,9179.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
